IATA,ICAO,Airline,Callsign,Country
BW,BWA,Caribbean Airlines,CARIBBEAN AIRLINES,Trinidad and Tobago
BW,BWA,Caribbean Airlines,CARIBBEAN,Trinidad and Tobago
BX,ABL,Air Busan,AIR BUSAN,Republic of Korea
BX,CST,Coast Air,COAST CENTER,Norway
BY,TOM,Thomson Airways,TUI AIR,United Kingdom
BZ,BDA,Blue Dart Aviation,BLUE DART,India
BZ,KEE,Keystone Air Service,KEYSTONE,Canada
C3,IPR,Independent Carrier (ICAR),ICAR,Ukraine
C4,IMX,Zimex Aviation,ZIMEX,Switzerland
C4,IMX,Zimex Aviation,ZIMEX,Switzerland
C5,UCA,CommutAir,COMMUTAIR,United States
C6,CJA,CanJet,CANJET,Canada
C7,CIN,Cinnamon Air,CINNAMON,Sri Lanka
C7,RLE,Rico Linhas Aéreas,RICO,Brazil
C8,ICV,Cargolux Italia,CARGO MED,Italy
C8,WDY,Chicago Jet Group,WINDY CITY,United States
C9,RUS,Cirrus Airlines,CIRRUS AIR,Germany
CA,CCA,Air China,AIR CHINA,China
CB,KFS,Kalitta Charters II,KALITTA,United States
CC,ABD,Air Atlanta Icelandic,ATLANTA,Iceland
CC,MCK,Macair Airlines,,Australia
CD,CND,Corendon Dutch Airlines,DUTCH CORENDON,Netherlands
CE,NTW,Nationwide Airlines,NATIONWIDE,South Africa
CF,SDR,City Airline,SWEDESTAR,Sweden
CG,TOK,Airlines PNG,BALUS,Papua New Guinea
CH,BMJ,Bemidji Airlines,BEMIDJI,United States
CI,CAL,China Airlines,DYNASTY,Taiwan
CJ,CBF,China Northern Airlines,CHINA NORTHERN,China
CJ,CFE,BA CityFlyer,FLYER,United Kingdom
CJ,CFE,CityFlyer Express,FLYER,United Kingdom
CK,CKK,China Cargo Airlines,CARGO KING,China
CL,CLH,Lufthansa CityLine,HANSALINE,Germany
CM,CMP,Copa Airlines,COPA,Panama
CN,WWD,Westward Airways,WESTWARD,United States
CO,COA,Continental Airlines,CONTINENTAL,United States
CP,CDN,Canadian Airlines,CANADIAN,Canada
CP,CPC,Canadian Pacific Airlines,EMPRESS,Canada
CP,CPZ,Compass Airlines,COMPASS ROSE,United States
CQ,CCW,Central Charter,CENTRAL CHARTER,Czech Republic
CQ,EXL,Sunshine Express Airlines,,Australia
CS,CMI,Continental Micronesia,AIR MIKE,United States
CT,CAT,Civil Air Transport,Mandarin,Taiwan
CU,CUB,Cubana de Aviación,CUBANA,Cuba
CV,CLX,Cargolux,CARGOLUX,Luxembourg
CV,CVA,Air Chathams,CHATHAM,New Zealand
CW,CWM,Air Marshall Islands,AIR MARSHALLS,Marshall Islands
CX,CPA,Cathay Pacific,CATHAY,Hong Kong
CY,CYP,Cyprus Airways,CYPRUS,Cyprus
CZ,CSN,China Southern Airlines,CHINA SOUTHERN,China
D0,DHK,DHL Air Limited,WORLD EXPRESS,United Kingdom
D2,SSF,Severstal Air Company,SEVERSTAL,Russia
D3,DAO,Daallo Airlines,DALO AIRLINES,Djibouti
D4,LID,Alidaunia,ALIDA,Italy
D5,DAU,Dauair,DAUAIR,Germany
D6,ILN,Interair South Africa,INLINE,South Africa
D7,XAX,AirAsia X,XANADU,Malaysia
D7,XFA,FlyAsianXpress,FAX AIR,Malaysia
D8,IBK,Norwegian Air International,NORTRANS,Ireland
D8,IBK,Norwegian Air International (Norway),NORTRANS,Norway
D9,DNV,Donavia,DONAVIA,Russia
DA,GRG,Air Georgia,AIR GEORGIA,Georgia
DB,BZH,Brit Air,BRITAIR,France
DC,GAO,Golden Air,GOLDEN,Sweden
DD,DDL,Danish Air Lines,,Denmark
DD,NOK,Nok Air,NOK AIR,Thailand
DE,CFG,Condor Flugdienst,CONDOR,Germany
DG,SRQ,Cebgo,BLUE JAY,Philippines
DH,DVA,Discovery Airways,DISCOVERY AIRWAYS,United States
DH,IDE,Independence Air,INDEPENDENCE AIR,United States
DH,NAN,Norwegian Air Norway,NORSHIP,Norway
DI,BAG,Dba,SPEEDWAY,Germany
DI,NRS,Norwegian Air UK,REDNOSE,United Kingdom
DJ,PBN,Pacific Blue,BLUEBIRD,New Zealand
DJ,PLB,Polynesian Blue,POLYBLUE,New Zealand
DJ,WAJ,AirAsia Japan,WING ASIA,Japan
DK,ELA,Eastland Air,,Australia
DL,DAL,Delta Air Lines,DELTA,United States
DN,NAA,Norwegian Air Argentina,NORUEGA,Argentina
DO,DOA,Dominicana de Aviación,DOMINICANA,Dominican Republic
DP,FCA,First Choice Airways,JETSET,United Kingdom
DS,EZS,easyJet Switzerland,TOPSWISS,Switzerland
DT,DTA,TAAG Angola Airlines,DTA,Angola
DU,NLH,Norwegian Long Haul,NORSTAR,Norway
DV,ACK,Nantucket Airlines,ACK AIR,United States
DV,VSV,Scat Air,VLASTA,Kazakhstan
DW,UCR,Aero-Charter Ukraine,CHARTER UKRAINE,Ukraine
DX,DTR,DAT Danish Air Transport,DANISH,Denmark
DY,NAX,Norwegian Air Shuttle,NOR SHUTTLE,Norway
E0,ESS,Eos Airlines,NEW DAWN,United States
E2,EWE,Eurowings Europe,EUROWINGS,Austria
E2,GRN,Rio Grande Air,GRANDE,United States
E2,KMP,Kampuchea Airlines,KAMPUCHEA,Cambodia
E3,DMO,Domodedovo Airlines,DOMODEDOVO,Russia
E3,VGO,Sabaidee Airways,VIRGO,Thailand
E4,RSO,Aero Asia International,AERO ASIA,Pakistan
E5,BRZ,Samara Airlines,BERYOZA,Russia
E7,EAF,European Aviation Air Charter,EUROCHARTER,United Kingdom
E7,ESF,Estafeta Carga Aérea,,Mexico
E8,ELG,Alpi Eagles,ALPI EAGLES,Italy
E9,CXS,Boston-Maine Airways,CLIPPER CONNECTION,United States
EA,EAL,Eastern Air Lines,EASTERN,United States
EA,EAL,European Air Express,STAR WING,Germany
EC,EJU,easyJet Europe,ALPINE,Austria
EC,TWN,Avialeasing Aviation Company,TWINARROW,Uzbekistan
ED,ABQ,Airblue,PAKBLUE,Pakistan
EE,EAY,Aero Airlines,REVAL,Estonia
EG,JAA,Japan Asia Airways,ASIA,Japan
EH,AKX,Air Nippon Network Co. Ltd.,ALFA WING,Japan
EH,SET,SAETA,SAETA,Ecuador
EI,EIN,Aer Lingus,SHAMROCK,Ireland
EJ,NEA,New England Airlines,NEW ENGLAND,United States
EK,UAE,Emirates Airlines,EMIRATES,United Arab Emirates
EL,ANK,Air Nippon,ANK AIR,Japan
EL,ELB,Ellinair,ELLINAIR HELLAS,Greece
EM,AEB,Aero Benin,AEROBEN,Benin
EM,CFS,Empire Airlines,EMPIRE AIR,United States
EN,DLA,Air Dolomiti,DOLOMITI,Italy
EO,ALX,Hewa Bora Airways,ALLCONGO,Democratic Republic of the Congo
EO,LHN,Express One International,LONGHORN,United States
EP,IRC,Iran Aseman Airlines,ASEMAN,Iran
EQ,TAE,TAME,TAME,Ecuador
ER,DHL,Astar Air Cargo,D-H-L,United States
ES,DHX,DHL International,DILMUN,Bahrain
ET,ETH,Ethiopian Airlines,ETHIOPIAN,Ethiopia
EU,EEA,Empresa Ecuatoriana De Aviación,ECUATORIANA,Ecuador
EV,ASQ,Atlantic Southeast Airlines,ACEY,United States
EV,ASQ,ExpressJet,ACEY,United States
EW,EWG,Eurowings,EUROWINGS,Germany
EX,BJK,Atlantic Airlines,BLACKJACK,United States
EX,SDO,Air Santo Domingo,AERO DOMINGO,Dominican Republic
EY,EFL,Eagle Air,FLYING EAGLE,Tanzania
EY,ETD,Etihad Airways,ETIHAD,United Arab Emirates
EZ,EIA,Evergreen International Airlines,EVERGREEN,United States
EZ,SUS,Sun Air of Scandinavia,SUNSCAN,Denmark
F2,FLM,Fly Air,FLY WORLD,Turkey
F3,FSW,Faso Airways,FASO,Burkina Faso
F4,NBK,Albarka Air,AL-AIR,Nigeria
F5,COZ,Cosmic Air,COSMIC AIR,Nepal
F6,RCK,FaroeJet,ROCKROSE,Faroe Islands
F7,BBO,Flybaboo,BABOO,Switzerland
F9,FFT,Frontier Airlines,FRONTIER FLIGHT,United States
FA,SFR,Safair,CARGO,South Africa
FB,LZB,Bulgaria Air,FLYING BULGARIA,Bulgaria
FC,WBA,Finncomm Airlines,WESTBIRD,Finland
FD,AIQ,Thai AirAsia,THAI ASIA,Thailand
FE,FEA,Far Eastern Air Transport,Far Eastern,Taiwan
FE,WCP,Primaris Airlines,WHITECAP,United States
FG,AFG,Ariana Afghan Airlines,ARIANA,Afghanistan
FH,FHY,Freebird Airlines,FREEBIRD AIR,Turkey
FH,FUA,Futura International Airways,FUTURA,Spain
FI,ICE,Icelandair,ICEAIR,Iceland
FJ,FJI,Fiji Airways,PACIFIC,Fiji
FK,KEW,Keewatin Air,BLIZZARD,Canada
FK,WTA,Africa West,WEST TOGO,Togo
FL,TRS,AirTran Airways,CITRUS,United States
FM,CSH,Shanghai Airlines,SHANGHAI AIR,China
FN,RGL,Regional Air Lines,MAROC REGIONAL,Morocco
FO,ATM,Airlines of Tasmania,AIRTAS,Australia
FP,AND,Servicios Aéreos de los Andes,SERVI ANDES,Peru
FP,FRE,FlyPelican,PELICAN,Australia
FP,FRE,Freedom Air,FREEDOM,United States
FR,RYR,Ryanair,RYANAIR,Ireland
FS,ACL,Itali Airlines,SPADA,Italy
FS,STU,Servicios de Transportes Aéreos Fueguinos,FUEGUINO,Argentina
FT,FEG,FlyEgypt,SKY EGYPT,Egypt
FT,SRH,Siem Reap Airways,SIEMREAP AIR,Cambodia
FV,PLK,Pulkovo Aviation Enterprise,PULKOVO,Russia
FV,SDM,Rossiya,RUSSIA,Russia
FW,IBX,Ibex Airlines,IBEX,Japan
FX,FDX,FedEx Express,FEDEX,United States
FY,FFM,Firefly,FIREFLY,Malaysia
FY,NWR,Northwest Regional Airlines,,Australia
FZ,FDB,Flydubai,SKYDUBAI,UAE
G0,GHB,Ghana International Airlines,GHANA AIRLINES,Ghana
G2,VXG,Avirex,AVIREX-GABON,Gabon
G3,CIX,City Connexion Airlines,CONNEXION,Burundi
G3,GLO,Gol Transportes Aéreos,GOL TRANSPORTE,Brazil
G4,AAY,Allegiant Air,ALLEGIANT,United States
G5,HXA,China Express Airlines,CHINA EXPRESS,China
G6,BSR,Guine Bissaur Airlines,BISSAU AIRLINES,Guinea-Bissau
G6,WLG,Air Volga,GOUMRAK,Russia
G7,GJS,GoJet Airlines,LINDBERGH,United States
G7,GNF,Gandalf Airlines,Gandalf,Italy
G8,AGB,Air Service Gabon,,Gabon
G8,ENK,Enkor JSC,ENKOR,Russia
G8,GOW,GoAir,GOAIR,India
G8,GUJ,Gujarat Airways,GUJARATAIR,India
G9,ABY,Air Arabia,ARABIA,United Arab Emirates
GA,GIA,Garuda Indonesia,INDONESIA,Indonesia
GB,ABX,ABX Air,ABEX,United States
GB,ABX,Airborne Express,ABEX,United States
GC,GNR,Gambia International Airlines,GAMBIA INTERNATIONAL,Gambia
GD,AHA,Air Alpha Greenland,AIR ALPHA,Denmark
GE,TNA,TransAsia Airways,,Taiwan
GF,GFA,Gulf Air,GULF AIR,Bahrain
GG,GGC,Cargo 360,LONG-HAUL,United States
GG,GUY,Air Guyane,GREEN BIRD,French Guiana
GG,HAH,Air Comores International,AIR COMORES,Comoros
GG,KYE,Sky Lease Cargo,SKY CUBE,United States
GH,GHA,Ghana Airways,GHANA,Ghana
GH,GLP,Globus Airlines,GLOBUS,Russia
GI,IKA,Itek Air,ITEK-AIR,Kyrgyzstan
GJ,CDC,CDI Cargo Airlines,HUALONG,China
GJ,EEZ,Eurofly,E-FLY,Italy
GJ,MXC,Compania Mexicargo,MEXICARGO,Mexico
GK,JJP,Jetstar Japan,ORANGE LINER,Japan
GL,GRL,Air Greenland,GREENLAND,Denmark
GL,GRL,Air Greenland,GREENLAND,Greenland   Denmark
GM,SVK,Air Slovakia,SLOVAKIA,Slovakia
GN,AGN,Air Gabon,GOLF NOVEMBER,Gabon
GO,KZU,Kuzu Airlines Cargo,KUZU CARGO,Turkey
GP,PTP,Palau Trans Pacific Airlines,TRANS PACIFIC,Palau
GP,RIV,APG Airlines,RIVERA,France
GQ,BSY,Big Sky Airlines,BIG SKY,United States
GR,AUR,Aurigny Air Services,AYLINE,United Kingdom
GR,GCO,Gemini Air Cargo,GEMINI,United States
GS,GCR,Tianjin Airlines,BO HAI,China
